Accident_Index,Location_Easting_OSGR,Location_Northing_OSGR,Longitude,Latitude,Police_Force,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Date,Day_of_Week,Time,Local_Authority_(District),Local_Authority_(Highway),1st_Road_Class,1st_Road_Number,Road_Type,Speed_limit,Junction_Detail,Junction_Control,2nd_Road_Class,2nd_Road_Number,Pedestrian_Crossing-Human_Control,Pedestrian_Crossing-Physical_Facilities,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Special_Conditions_at_Site,Carriageway_Hazards,Urban_or_Rural_Area,Did_Police_Officer_Attend_Scene_of_Accident,LSOA_of_Accident_Location
201401BS70477,525300,178390,-0.196588,51.490528,1,3,2,1,26/07/2014,7,13:12,12,E09000020,3,3220,2,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01002847
201401BS70478,526770,177730,-0.175662,51.48427,1,3,2,1,26/07/2014,7,13:05,12,E09000020,3,3220,6,30,6,2,3,3217,0,5,1,1,1,0,0,1,1,E01002845
201401BS70479,526590,177280,-0.178414,51.480266,1,3,2,1,25/07/2014,6,17:20,12,E09000020,3,3220,6,30,3,4,5,0,0,1,1,2,2,0,6,1,1,E01002840
201401BS70481,527160,178700,-0.169699,51.4929,1,3,2,2,26/07/2014,7,13:35,12,E09000020,3,308,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01002823
201401BS70482,527340,177650,-0.167486,51.483423,1,3,2,1,29/07/2014,3,07:30,12,E09000020,3,3212,6,30,6,2,4,304,0,5,1,1,1,0,0,1,1,E01002844
201401BS70483,524630,180220,-0.205587,51.507123,1,3,2,1,28/07/2014,2,22:02,12,E09000020,3,402,6,30,3,4,6,0,0,4,1,1,1,0,0,1,2,E01002871
201401BS70484,525630,178470,-0.191808,51.491174,1,3,2,1,28/07/2014,2,17:12,12,E09000020,3,3220,2,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01002849
201401BS70485,525580,178980,-0.192347,51.495769,1,3,2,1,28/07/2014,2,07:15,12,E09000020,5,0,6,30,6,4,6,0,0,0,1,1,1,0,0,1,1,E01002812
201401BS70487,526170,177320,-0.184445,51.480719,1,2,1,1,29/07/2014,3,19:53,12,E09000020,3,308,6,30,3,4,6,0,0,1,1,1,1,0,6,1,1,E01002843
201401BS70489,525330,179370,-0.195808,51.499329,1,3,2,1,30/07/2014,4,13:35,12,E09000020,6,0,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01002817
